2022-11-16 01:14:45主播排名以及观看数：
 当前排名第1的主播为： 洞主丨歌神洞庭湖，当前观看人数为298.6万,直播链接：https://www.douyu.com/138243
当前排名第2的主播为： 一只蘇l，当前观看人数为26.7万,直播链接：https://www.douyu.com/895712
当前排名第3的主播为： 南波儿大魔王丶，当前观看人数为205.8万,直播链接：https://www.douyu.com/123455
当前排名第4的主播为： 小德船长c，当前观看人数为30.6万,直播链接：https://www.douyu.com/8204193
当前排名第5的主播为： impOUO，当前观看人数为121.8万,直播链接：https://www.douyu.com/522387
当前排名第6的主播为： Night丶杀神风，当前观看人数为78.5万,直播链接：https://www.douyu.com/217785
当前排名第7的主播为： 放逐大帝灬，当前观看人数为196.3万,直播链接：https://www.douyu.com/5377721
当前排名第8的主播为： None，当前观看人数为162.5万,直播链接：https://www.douyu.com/9655100
当前排名第9的主播为： 杰克螳螂，当前观看人数为86.6万,直播链接：https://www.douyu.com/4814609
当前排名第10的主播为： 丸子头的文哥哥，当前观看人数为146.3万,直播链接：https://www.douyu.com/3305122
当前排名第11的主播为： 心星丶青一，当前观看人数为137.4万,直播链接：https://www.douyu.com/5851374
当前排名第12的主播为： MQ丶蜘蛛馍，当前观看人数为116.4万,直播链接：https://www.douyu.com/226037
当前排名第13的主播为： 主播油条，当前观看人数为21.6万,直播链接：https://www.douyu.com/56040
当前排名第14的主播为： 小酒窝翁馨，当前观看人数为2.1万,直播链接：https://www.douyu.com/664668
当前排名第15的主播为： 沐甜真香，当前观看人数为102.5万,直播链接：https://www.douyu.com/10873003
当前排名第16的主播为： 陆铭昊，当前观看人数为96.8万,直播链接：https://www.douyu.com/7730973
当前排名第17的主播为： jjking剑姬，当前观看人数为91.4万,直播链接：https://www.douyu.com/7180846
当前排名第18的主播为： 疯狗炼金，当前观看人数为88.2万,直播链接：https://www.douyu.com/338281
当前排名第19的主播为： 熙子啦啦啦啦，当前观看人数为74.1万,直播链接：https://www.douyu.com/5586601
当前排名第20的主播为： 熊猫大G，当前观看人数为65.6万,直播链接：https://www.douyu.com/6556593
当前排名第21的主播为： 小苏菲，当前观看人数为63.9万,直播链接：https://www.douyu.com/241431
当前排名第22的主播为： 胖胖灬，当前观看人数为12.3万,直播链接：https://www.douyu.com/31107
当前排名第23的主播为： 右手supking，当前观看人数为62.5万,直播链接：https://www.douyu.com/316022
当前排名第24的主播为： 祈风1v9，当前观看人数为60.6万,直播链接：https://www.douyu.com/8302
当前排名第25的主播为： 短腿没吃堡，当前观看人数为57.3万,直播链接：https://www.douyu.com/6016701
当前排名第26的主播为： 兮饭锐雯，当前观看人数为57.3万,直播链接：https://www.douyu.com/108780
当前排名第27的主播为： 中年人拳师七号，当前观看人数为52.9万,直播链接：https://www.douyu.com/1476712
当前排名第28的主播为： 左手吸血鬼QAQ，当前观看人数为13.9万,直播链接：https://www.douyu.com/6296895
当前排名第29的主播为： Dy丶小然，当前观看人数为52.7万,直播链接：https://www.douyu.com/5820055
当前排名第30的主播为： 彭枪枪OVO，当前观看人数为52.6万,直播链接：https://www.douyu.com/1369397
当前排名第31的主播为： 喵可岩雀s，当前观看人数为47.6万,直播链接：https://www.douyu.com/7042605
当前排名第32的主播为： 先斩意中人，当前观看人数为46.1万,直播链接：https://www.douyu.com/4214310
当前排名第33的主播为： AlielieWH，当前观看人数为45.6万,直播链接：https://www.douyu.com/10890779
当前排名第34的主播为： iGWink，当前观看人数为44.1万,直播链接：https://www.douyu.com/6284138
当前排名第35的主播为： dum666，当前观看人数为43.8万,直播链接：https://www.douyu.com/7003186
当前排名第36的主播为： 哎呀朝朝，当前观看人数为42.7万,直播链接：https://www.douyu.com/9105451
当前排名第37的主播为： 她打了个嗝儿，当前观看人数为39.8万,直播链接：https://www.douyu.com/7918091
当前排名第38的主播为： 阿轩姑娘，当前观看人数为38.3万,直播链接：https://www.douyu.com/8400497
当前排名第39的主播为： 塔莉娅QAQ，当前观看人数为38.2万,直播链接：https://www.douyu.com/6770423
当前排名第40的主播为： 小野纯Quinlivan，当前观看人数为36.9万,直播链接：https://www.douyu.com/7872244
当前排名第41的主播为： 若雨蚂蚱，当前观看人数为36.4万,直播链接：https://www.douyu.com/541340
当前排名第42的主播为： 会壁咚的妙龄少女，当前观看人数为35.8万,直播链接：https://www.douyu.com/10559746
当前排名第43的主播为： 小蜜桃哟i，当前观看人数为35.7万,直播链接：https://www.douyu.com/9977818
当前排名第44的主播为： 小白白不听不听，当前观看人数为34.8万,直播链接：https://www.douyu.com/5324613
当前排名第45的主播为： 小明剑魔，当前观看人数为33.9万,直播链接：https://www.douyu.com/1515546
当前排名第46的主播为： 柠檬小特特，当前观看人数为33.3万,直播链接：https://www.douyu.com/9317327
当前排名第47的主播为： 冯熬夜，当前观看人数为33.2万,直播链接：https://www.douyu.com/7118839
当前排名第48的主播为： 作作金克丝，当前观看人数为31.6万,直播链接：https://www.douyu.com/544865
当前排名第49的主播为： 小鸽鸽ovo，当前观看人数为31.5万,直播链接：https://www.douyu.com/2480767
当前排名第50的主播为： 小翁亚索，当前观看人数为29.6万,直播链接：https://www.douyu.com/252171
当前排名第51的主播为： 眠饱饱Oo，当前观看人数为29.4万,直播链接：https://www.douyu.com/11210978
当前排名第52的主播为： 洁夕小仙女，当前观看人数为29.3万,直播链接：https://www.douyu.com/8977376
当前排名第53的主播为： 小阿超ccc，当前观看人数为29.1万,直播链接：https://www.douyu.com/5283485
当前排名第54的主播为： douyu丶松子，当前观看人数为27.8万,直播链接：https://www.douyu.com/219408
当前排名第55的主播为： 奶妈的安眠药，当前观看人数为27.5万,直播链接：https://www.douyu.com/3545866
当前排名第56的主播为： 贤妹猛猛c，当前观看人数为27.4万,直播链接：https://www.douyu.com/11045768
当前排名第57的主播为： 英雄联盟赛事，当前观看人数为27.2万,直播链接：https://www.douyu.com/288016
当前排名第58的主播为： 丸子小憨包，当前观看人数为26.4万,直播链接：https://www.douyu.com/11195594
当前排名第59的主播为： 卷耳喵OuO，当前观看人数为26.3万,直播链接：https://www.douyu.com/7719479
当前排名第60的主播为： 狗康Bfate丶，当前观看人数为26.1万,直播链接：https://www.douyu.com/633980
当前排名第61的主播为： 神威仙大将军，当前观看人数为25.8万,直播链接：https://www.douyu.com/780824
当前排名第62的主播为： 斗鱼丶华仔，当前观看人数为25.7万,直播链接：https://www.douyu.com/24418
当前排名第63的主播为： 游是，当前观看人数为25.4万,直播链接：https://www.douyu.com/2905166
当前排名第64的主播为： 灰灰小法师OvO，当前观看人数为25.4万,直播链接：https://www.douyu.com/2361531
当前排名第65的主播为： 最初卡莎，当前观看人数为24.7万,直播链接：https://www.douyu.com/4527270
当前排名第66的主播为： 教练JoKer，当前观看人数为23.8万,直播链接：https://www.douyu.com/29
当前排名第67的主播为： 陌生人执念，当前观看人数为23.4万,直播链接：https://www.douyu.com/9784230
当前排名第68的主播为： 皮小元，当前观看人数为23.3万,直播链接：https://www.douyu.com/9228545
当前排名第69的主播为： 沐晚晚sss，当前观看人数为23.3万,直播链接：https://www.douyu.com/8509691
当前排名第70的主播为： 十一叔叔o，当前观看人数为22.8万,直播链接：https://www.douyu.com/1164398
当前排名第71的主播为： 神牛教丶教主，当前观看人数为22.8万,直播链接：https://www.douyu.com/432697
当前排名第72的主播为： 小帅凯隐，当前观看人数为22.3万,直播链接：https://www.douyu.com/6561228
当前排名第73的主播为： 英雄联盟赛事2，当前观看人数为22.3万,直播链接：https://www.douyu.com/424559
当前排名第74的主播为： 波波卡特ovo，当前观看人数为22.2万,直播链接：https://www.douyu.com/6317186
当前排名第75的主播为： 凛然丶丶丶，当前观看人数为21.9万,直播链接：https://www.douyu.com/1227497
当前排名第76的主播为： 安慕豆zdd，当前观看人数为21.7万,直播链接：https://www.douyu.com/9856158
当前排名第77的主播为： 玩剑圣的毛毛虫，当前观看人数为21.5万,直播链接：https://www.douyu.com/2845610
当前排名第78的主播为： 一只鬼呀，当前观看人数为21.2万,直播链接：https://www.douyu.com/10088546
当前排名第79的主播为： 唐人龙龟，当前观看人数为20.9万,直播链接：https://www.douyu.com/4533200
当前排名第80的主播为： 月野晶丷贾克静，当前观看人数为20.7万,直播链接：https://www.douyu.com/10653717
当前排名第81的主播为： 罗七七O3O，当前观看人数为20.5万,直播链接：https://www.douyu.com/10755501
